year,temperature_anomaly,risk_score,sustainability_score,environmental_health_index
1955,-0.14,39.823243875484806,60.176756124515194,60.176756124515194
1956,-0.19,39.823243875484806,60.176756124515194,60.176756124515194
1957,0.05,39.823243875484806,60.176756124515194,60.176756124515194
1958,0.06,39.823243875484806,60.176756124515194,60.176756124515194
1959,0.03,39.823243875484806,60.176756124515194,60.176756124515194
1960,-0.02,39.823243875484806,60.176756124515194,60.176756124515194
1961,0.06,39.823243875484806,60.176756124515194,60.176756124515194
1962,0.03,39.823243875484806,60.176756124515194,60.176756124515194
1963,0.05,39.823243875484806,60.176756124515194,60.176756124515194
1964,-0.2,39.823243875484806,60.176756124515194,60.176756124515194
1965,-0.11,39.823243875484806,60.176756124515194,60.176756124515194
1966,-0.06,39.823243875484806,60.176756124515194,60.176756124515194
1967,-0.02,39.823243875484806,60.176756124515194,60.176756124515194
1968,-0.08,39.823243875484806,60.176756124515194,60.176756124515194
1969,0.05,39.823243875484806,60.176756124515194,60.176756124515194
1970,0.03,39.823243875484806,60.176756124515194,60.176756124515194
1971,-0.08,39.823243875484806,60.176756124515194,60.176756124515194
1972,0.01,39.823243875484806,60.176756124515194,60.176756124515194
1973,0.16,39.823243875484806,60.176756124515194,60.176756124515194
1974,-0.07,39.823243875484806,60.176756124515194,60.176756124515194
1975,-0.01,39.823243875484806,60.176756124515194,60.176756124515194
1976,-0.1,39.823243875484806,60.176756124515194,60.176756124515194
1977,0.18,39.823243875484806,60.176756124515194,60.176756124515194
1978,0.07,39.823243875484806,60.176756124515194,60.176756124515194
1979,0.16,39.823243875484806,60.176756124515194,60.176756124515194
1980,0.26,39.823243875484806,60.176756124515194,60.176756124515194
1981,0.32,39.823243875484806,60.176756124515194,60.176756124515194
1982,0.14,39.823243875484806,60.176756124515194,60.176756124515194
1983,0.31,39.823243875484806,60.176756124515194,60.176756124515194
1984,0.16,39.823243875484806,60.176756124515194,60.176756124515194
1985,0.12,39.823243875484806,60.176756124515194,60.176756124515194
1986,0.18,39.823243875484806,60.176756124515194,60.176756124515194
1987,0.32,39.823243875484806,60.176756124515194,60.176756124515194
1988,0.39,39.823243875484806,60.176756124515194,60.176756124515194
1989,0.27,39.823243875484806,60.176756124515194,60.176756124515194
1990,0.45,39.823243875484806,60.176756124515194,60.176756124515194
1991,0.4,39.823243875484806,60.176756124515194,60.176756124515194
1992,0.22,39.823243875484806,60.176756124515194,60.176756124515194
1993,0.23,39.823243875484806,60.176756124515194,60.176756124515194
1994,0.31,39.823243875484806,60.176756124515194,60.176756124515194
1995,0.44,39.823243875484806,60.176756124515194,60.176756124515194
1996,0.33,39.823243875484806,60.176756124515194,60.176756124515194
1997,0.46,39.823243875484806,60.176756124515194,60.176756124515194
1998,0.61,39.823243875484806,60.176756124515194,60.176756124515194
1999,0.38,39.823243875484806,60.176756124515194,60.176756124515194
2000,0.39,39.823243875484806,60.176756124515194,60.176756124515194
2001,0.53,39.823243875484806,60.176756124515194,60.176756124515194
2002,0.63,39.823243875484806,60.176756124515194,60.176756124515194
2003,0.61,39.823243875484806,60.176756124515194,60.176756124515194
2004,0.53,39.823243875484806,60.176756124515194,60.176756124515194
2005,0.68,39.823243875484806,60.176756124515194,60.176756124515194
2006,0.64,39.823243875484806,60.176756124515194,60.176756124515194
2007,0.66,39.823243875484806,60.176756124515194,60.176756124515194
2008,0.54,39.823243875484806,60.176756124515194,60.176756124515194
2009,0.66,39.823243875484806,60.176756124515194,60.176756124515194
2010,0.72,39.823243875484806,60.176756124515194,60.176756124515194
2011,0.61,39.823243875484806,60.176756124515194,60.176756124515194
2012,0.64,39.823243875484806,60.176756124515194,60.176756124515194
2013,0.68,39.823243875484806,60.176756124515194,60.176756124515194
2014,0.75,39.823243875484806,60.176756124515194,60.176756124515194
2015,0.9,39.823243875484806,60.176756124515194,60.176756124515194
2016,1.01,39.823243875484806,60.176756124515194,60.176756124515194
2017,0.92,39.823243875484806,60.176756124515194,60.176756124515194
2018,0.85,39.823243875484806,60.176756124515194,60.176756124515194
2019,0.98,39.823243875484806,60.176756124515194,60.176756124515194
2020,1.01,39.823243875484806,60.176756124515194,60.176756124515194
2021,0.85,39.823243875484806,60.176756124515194,60.176756124515194
2022,0.89,39.823243875484806,60.176756124515194,60.176756124515194
2023,1.17,39.823243875484806,60.176756124515194,60.176756124515194
2024,1.29,39.823243875484806,60.176756124515194,60.176756124515194
2025,1.19,39.823243875484806,60.176756124515194,60.176756124515194
